Barcode,Name,Sales Price,Sales Description,Description for the website,Origin,Website Product Category,barcode_norm,expiration_date,date_repaired
8691440305231,Baldo rice DURU,5.90,1000g,"Baldo ryžiai - laikomi pačios geriausios kokybės ryžiais, kurie auginami Turkijoje. Balikesir regione auginami ryžiai yra tinkamiausi gaminti plovui. Turkiški baldo ryžiai yra krakmolingi ir gali sugerti daug drėgmės, todėl išvirę jie turi kreminę tekstūrą, todėl puikiai tinka gaminti paeliją ir turkiškus plovus. Prieš verdant baldo ryžius rekomenduojama juos 10 minučių pamirkyti vandenyje. Vienai stiklinei baldo ryžių reikia 1,5 stiklinės vandens.",,Kruopos (ryžiai - makaronai - miltai - tortilijos) / Ryžiai,8691440305231,,
86974226678,Baldo rice MIS,3.90,,,,Kruopos (ryžiai - makaronai - miltai - tortilijos) / Ryžiai,86974226678,,
4027394001334,Baldo rice YAYLA,5.50,900g,"Baldo ryžiai - laikomi pačios geriausios kokybės ryžiais, kurie auginami Turkijoje. Balikesir regione auginami ryžiai yra tinkamiausi gaminti plovui. Turkiški baldo ryžiai yra krakmolingi ir gali sugerti daug drėgmės, todėl išvirę jie turi kreminę tekstūrą, todėl puikiai tinka gaminti paeliją ir turkiškus plovus. Prieš verdant baldo ryžius rekomenduojama juos 10 minučių pamirkyti vandenyje. Vienai stiklinei baldo ryžių reikia 1,5 stiklinės vandens.",Turkey,Kruopos (ryžiai - makaronai - miltai - tortilijos) / Ryžiai,4027394001334,,
8437002760076,Balsamic Vinegar with Figs GOOD FIG,6.90,250ml,,,Actas - aliejus / Actas,8437002760076,,
8014347106440,Balsamic vinegar Di Modena CARANDINI,3.50,500ml,,,Actas - aliejus / Actas,8014347106440,,
4262396736093,Baltasis Actas HUNKAR,3.90,500ml,,,Actas - aliejus / Actas,4262396736093,,
5701638140018,Baltasis fetos sūris YESILOVA,9.90,800g,,,Pieno produktai / Sūris,5701638140018,,
8683417000201,Baltasis šokoladas su lazdynai TADELLE,1.45,30g,,,,8683417000201,,
6901083396698,Balti krevečių krekeriai SKYBIRD,1.65,227g,Paruošimo būdas: gruzdinkite krekerius įkaitintame augaliniame aliejuje.,,Saldumynai (chalva - lokumas - šokoladas - batonėliai) / Batonėliai - sausainiai,6901083396698,,
8717552025024,Baltieji pipirai GULCAN,1.90,200g,,,Prieskoniai / Grynieji prieskoniai,8717552025024,,
201626,Baltieji pipirai Malta,1.10,50g,,Turkey,Prieskoniai,201626,,
201625,Baltieji pipirai seklos,1.00,50g,,Turkey,Prieskoniai,201625,,
4260452872686,Baltojo cukraus avinžirniai ALIBABA,1.75,150g,,,Riešutai - sėklos ir užkandžiai / Riešutai,4260452872686,,
